turn,speaker,sentence,transcript,label_getting_students_to_relate,label_keeping_everyone_together,label_not_a_talk_move,label_press_for_accuracy,label_press_for_reasoning,label_restating,label_revoicing
1,T,My names Ms Villarin I dont know if Ms Ferrant told you about me but I planned with Ms Ferrant last Friday  and I also have a seventh eighth grade math class,7th grade math.xlsx,False,False,True,False,False,False,False
1,T,So today her and I will be teaching a lesson together again my names Ms Villarin and thatll be on the board,7th grade math.xlsx,False,False,True,False,False,False,False
1,T,So you can treat me the way you treat her if you ask questions and you have something that you dont understand you can ask me,7th grade math.xlsx,False,False,True,False,False,False,False
1,T,Okay,7th grade math.xlsx,False,False,True,False,False,False,False
1,T,So today were going to be doing a really cool lesson,7th grade math.xlsx,False,False,True,False,False,False,False
1,T,We have a lot of people in the classroom I dont want you to be nervous at all,7th grade math.xlsx,False,False,True,False,False,False,False
1,T,If people stand by you its just  cause they want to know what youre thinking,7th grade math.xlsx,False,False,True,False,False,False,False
1,T,Okay,7th grade math.xlsx,False,False,True,False,False,False,False
1,T,All theyre doing is listening to what youre thinking and looking at what youre recording,7th grade math.xlsx,False,False,True,False,False,False,False
1,T,Okay,7th grade math.xlsx,False,False,True,False,False,False,False
1,T,So make sure you speak loud enough so that they can hear you and then just pretend like the cameras arent here,7th grade math.xlsx,False,False,True,False,False,False,False
1,T,Okay,7th grade math.xlsx,False,False,True,False,False,False,False
1,T,So what were going to be doing today is  about two weeks ago I think you guys did a problem called  Pizza Crusts  Ms Ferrant gave you a problem she had you do it by yourself,7th grade math.xlsx,False,False,True,False,False,False,False
1,T,Do you all remember it,7th grade math.xlsx,False,True,False,False,False,False,False
1,T,Yeah,7th grade math.xlsx,False,True,False,False,False,False,False
1,T,What was it about,7th grade math.xlsx,False,False,False,True,False,False,False
1,T,Can anyone tell me what it was about,7th grade math.xlsx,False,False,False,True,False,False,False
1,T,And I have a seating chart here so if I dont know your name I apologize Ill be looking at this,7th grade math.xlsx,False,False,True,False,False,False,False
1,T,Is it Cassie,7th grade math.xlsx,False,True,False,False,False,False,False
2,S,Mmm hmm,7th grade math.xlsx,False,False,False,False,False,False,False
2,S,We were looking at the circumference and area of the circle and the difference,7th grade math.xlsx,False,False,False,False,False,False,False
3,T,Okay so the circumference of areas I mean the area and perimeters of rectangles and then you had circumference and you were looking at pizzas,7th grade math.xlsx,False,True,False,False,False,False,False
3,T,Okay,7th grade math.xlsx,False,False,True,False,False,False,False
3,T,Do you guys remember that problem,7th grade math.xlsx,False,True,False,False,False,False,False
3,T,What else  does anybody else remember what else it was about,7th grade math.xlsx,False,False,False,True,False,False,False
3,T,No,7th grade math.xlsx,False,True,False,False,False,False,False
3,T,Okay,7th grade math.xlsx,False,False,True,False,False,False,False
3,T,So anyway were gonna were gonna talk about that today,7th grade math.xlsx,False,False,True,False,False,False,False
